province_code,date,title,prize_codes,prize_order
KH79,1-1-2023,G8,78,0
KH79,1-1-2023,G7,025,1
KH79,1-1-2023,G6,4128 6164 1016,2
KH79,1-1-2023,G5,8291,3
KH79,1-1-2023,G4,42816 17683 21052 80002 98666 41587 52863,4
KH79,1-1-2023,G3,55898 37552,6
KH79,1-1-2023,G2,62140,7
KH79,1-1-2023,G1,88528,8
KH79,1-1-2023,ĐB,313644,9
KH79,4-1-2023,G8,12,0
KH79,4-1-2023,G7,470,1
KH79,4-1-2023,G6,8935 8762 3623,2
KH79,4-1-2023,G5,9364,3
KH79,4-1-2023,G4,84160 33412 88430 84858 74289 94751 05396,4
KH79,4-1-2023,G3,48196 33335,6
KH79,4-1-2023,G2,38852,7
KH79,4-1-2023,G1,86655,8
KH79,4-1-2023,ĐB,572718,9
KH79,8-1-2023,G8,40,0
KH79,8-1-2023,G7,524,1
KH79,8-1-2023,G6,0217 9591 8226,2
KH79,8-1-2023,G5,3338,3
KH79,8-1-2023,G4,23834 74903 05185 35353 21387 84017 16964,4
KH79,8-1-2023,G3,44940 08822,6
KH79,8-1-2023,G2,00132,7
KH79,8-1-2023,G1,80592,8
KH79,8-1-2023,ĐB,735768,9
KH79,11-1-2023,G8,25,0
KH79,11-1-2023,G7,178,1
KH79,11-1-2023,G6,0626 8847 9330,2
KH79,11-1-2023,G5,5570,3
KH79,11-1-2023,G4,10216 91181 71908 36811 40528 19562 40243,4
KH79,11-1-2023,G3,07448 54334,6
KH79,11-1-2023,G2,10749,7
KH79,11-1-2023,G1,75155,8
KH79,11-1-2023,ĐB,356096,9
KH79,18-1-2023,G8,24,0
KH79,18-1-2023,G7,939,1
KH79,18-1-2023,G6,3649 4563 4513,2
KH79,18-1-2023,G5,6904,3
KH79,18-1-2023,G4,87408 48562 78732 89016 09230 58439 25733,4
KH79,18-1-2023,G3,69652 64299,6
KH79,18-1-2023,G2,86266,7
KH79,18-1-2023,G1,25406,8
KH79,18-1-2023,ĐB,582736,9
KH79,22-1-2023,G8,81,0
KH79,22-1-2023,G7,302,1
KH79,22-1-2023,G6,8571 2060 0447,2
KH79,22-1-2023,G5,3839,3
KH79,22-1-2023,G4,37030 27075 65063 07556 11018 26108 22094,4
KH79,22-1-2023,G3,34668 71278,6
KH79,22-1-2023,G2,56791,7
KH79,22-1-2023,G1,71483,8
KH79,22-1-2023,ĐB,344924,9
KH79,25-1-2023,G8,08,0
KH79,25-1-2023,G7,077,1
KH79,25-1-2023,G6,4612 9537 9032,2
KH79,25-1-2023,G5,4132,3
KH79,25-1-2023,G4,51805 75735 83777 31308 91895 88079 13824,4
KH79,25-1-2023,G3,39895 27890,6
KH79,25-1-2023,G2,13907,7
KH79,25-1-2023,G1,93501,8
KH79,25-1-2023,ĐB,568906,9
KH79,1-2-2023,G8,68,0
KH79,1-2-2023,G7,666,1
KH79,1-2-2023,G6,1016 1680 4157,2
KH79,1-2-2023,G5,9339,3
KH79,1-2-2023,G4,00655 43071 37318 98316 47655 54075 13997,4
KH79,1-2-2023,G3,48461 64982,6
KH79,1-2-2023,G2,58726,7
KH79,1-2-2023,G1,32244,8
KH79,1-2-2023,ĐB,796653,9
KH79,29-1-2023,G8,20,0
KH79,29-1-2023,G7,455,1
KH79,29-1-2023,G6,2363 0100 1576,2
KH79,29-1-2023,G5,8828,3
KH79,29-1-2023,G4,13913 26331 39564 22770 48173 64714 10182,4
KH79,29-1-2023,G3,30164 71539,6
KH79,29-1-2023,G2,32987,7
KH79,29-1-2023,G1,11543,8
KH79,29-1-2023,ĐB,703228,9
KH79,5-2-2023,G8,86,0
KH79,5-2-2023,G7,073,1
KH79,5-2-2023,G6,7729 6521 7771,2
KH79,5-2-2023,G5,8618,3
KH79,5-2-2023,G4,20104 62492 13155 79608 80867 87649 63220,4
KH79,5-2-2023,G3,21742 26317,6
KH79,5-2-2023,G2,78563,7
KH79,5-2-2023,G1,77852,8
KH79,5-2-2023,ĐB,478056,9
KH79,8-2-2023,G8,71,0
KH79,8-2-2023,G7,740,1
KH79,8-2-2023,G6,8505 0422 8437,2
KH79,8-2-2023,G5,4661,3
KH79,8-2-2023,G4,63981 27400 85187 85499 56103 74542 96696,4
KH79,8-2-2023,G3,08585 69958,6
KH79,8-2-2023,G2,65010,7
KH79,8-2-2023,G1,62991,8
KH79,8-2-2023,ĐB,747598,9
KH79,19-2-2023,G8,88,0
KH79,19-2-2023,G7,747,1
KH79,19-2-2023,G6,7689 0656 1973,2
KH79,19-2-2023,G5,0758,3
KH79,19-2-2023,G4,38364 20888 85210 06856 41168 94119 06018,4
KH79,19-2-2023,G3,01069 89995,6
KH79,19-2-2023,G2,66992,7
KH79,19-2-2023,G1,69995,8
KH79,19-2-2023,ĐB,612085,9
KH79,15-2-2023,G8,90,0
KH79,15-2-2023,G7,954,1
KH79,15-2-2023,G6,5396 4848 2718,2
KH79,15-2-2023,G5,1378,3
KH79,15-2-2023,G4,94574 97029 61877 36696 69811 98799 46409,4
KH79,15-2-2023,G3,63037 39458,6
KH79,15-2-2023,G2,09987,7
KH79,15-2-2023,G1,78242,8
KH79,15-2-2023,ĐB,279575,9
KH79,22-2-2023,G8,24,0
KH79,22-2-2023,G7,529,1
KH79,22-2-2023,G6,0851 1578 2302,2
KH79,22-2-2023,G5,0344,3
KH79,22-2-2023,G4,31354 80990 58531 22464 58053 66439 67828,4
KH79,22-2-2023,G3,95387 80041,6
KH79,22-2-2023,G2,78718,7
KH79,22-2-2023,G1,74576,8
KH79,22-2-2023,ĐB,163641,9
KH79,26-2-2023,G8,22,0
KH79,26-2-2023,G7,018,1
KH79,26-2-2023,G6,4459 6778 0649,2
KH79,26-2-2023,G5,8128,3
KH79,26-2-2023,G4,42458 68653 81130 74666 39720 14944 89876,4
KH79,26-2-2023,G3,60058 46844,6
KH79,26-2-2023,G2,96320,7
KH79,26-2-2023,G1,60061,8
KH79,26-2-2023,ĐB,533895,9
KH79,1-3-2023,G8,84,0
KH79,1-3-2023,G7,388,1
KH79,1-3-2023,G6,9332 4895 9215,2
KH79,1-3-2023,G5,6857,3
KH79,1-3-2023,G4,03688 51181 42049 33530 32334 80559 50432,4
KH79,1-3-2023,G3,08274 77453,6
KH79,1-3-2023,G2,59677,7
KH79,1-3-2023,G1,06889,8
KH79,1-3-2023,ĐB,139727,9
KH79,5-3-2023,G8,92,0
KH79,5-3-2023,G7,741,1
KH79,5-3-2023,G6,3871 3336 7473,2
KH79,5-3-2023,G5,0524,3
KH79,5-3-2023,G4,49849 44054 11944 07813 43682 79279 35586,4
KH79,5-3-2023,G3,90844 58815,6
KH79,5-3-2023,G2,81535,7
