province_code,date,title,prize_codes,prize_order
KH79,25-2-2024,G8,13,0
KH79,25-2-2024,G7,515,1
KH79,25-2-2024,G6,3805 6374 6658,2
KH79,25-2-2024,G5,2681,3
KH79,25-2-2024,G4,29164 92765 26820 07679 33160 25728 39535,4
KH79,25-2-2024,G3,00632 68313,6
KH79,25-2-2024,G2,09515,7
KH79,25-2-2024,G1,33864,8
KH79,25-2-2024,ĐB,057576,9
KH79,28-2-2024,G8,47,0
KH79,28-2-2024,G7,054,1
KH79,28-2-2024,G6,9294 5261 0376,2
KH79,28-2-2024,G5,3032,3
KH79,28-2-2024,G4,41559 64798 00259 20075 08644 56602 90932,4
KH79,28-2-2024,G3,16139 33695,6
KH79,28-2-2024,G2,61241,7
KH79,28-2-2024,G1,74216,8
KH79,28-2-2024,ĐB,944394,9
KH79,6-3-2024,G8,72,0
KH79,6-3-2024,G7,640,1
KH79,6-3-2024,G6,1901 1777 9503,2
KH79,6-3-2024,G5,5873,3
KH79,6-3-2024,G4,56814 41500 56393 46194 63914 95066 96021,4
KH79,6-3-2024,G3,66197 77725,6
KH79,6-3-2024,G2,10895,7
KH79,6-3-2024,G1,49418,8
KH79,6-3-2024,ĐB,045366,9
KH79,3-3-2024,G8,45,0
KH79,3-3-2024,G7,857,1
KH79,3-3-2024,G6,0977 6395 8414,2
KH79,3-3-2024,G5,7499,3
KH79,3-3-2024,G4,09622 77624 71597 50662 25735 40551 90671,4
KH79,3-3-2024,G3,52607 96328,6
KH79,3-3-2024,G2,92186,7
KH79,3-3-2024,G1,82786,8
KH79,3-3-2024,ĐB,659894,9
KH79,10-3-2024,G8,36,0
KH79,10-3-2024,G7,825,1
KH79,10-3-2024,G6,5186 2529 4201,2
KH79,10-3-2024,G5,2515,3
KH79,10-3-2024,G4,99025 09139 87914 03680 09547 95348 85084,4
KH79,10-3-2024,G3,77985 22934,6
KH79,10-3-2024,G2,32223,7
KH79,10-3-2024,G1,06866,8
KH79,10-3-2024,ĐB,937534,9
KH79,17-3-2024,G8,03,0
KH79,17-3-2024,G7,339,1
KH79,17-3-2024,G6,1320 6907 2178,2
KH79,17-3-2024,G5,5489,3
KH79,17-3-2024,G4,02938 67525 36171 30314 23654 67002 66163,4
KH79,17-3-2024,G3,64520 34414,6
KH79,17-3-2024,G2,32694,7
KH79,17-3-2024,G1,88448,8
KH79,17-3-2024,ĐB,497602,9
KH79,20-3-2024,G8,50,0
KH79,20-3-2024,G7,725,1
KH79,20-3-2024,G6,8998 4155 9621,2
KH79,20-3-2024,G5,1245,3
KH79,20-3-2024,G4,88697 57438 88870 07298 01891 31377 16046,4
KH79,20-3-2024,G3,03045 94840,6
KH79,20-3-2024,G2,39028,7
KH79,20-3-2024,G1,40267,8
KH79,20-3-2024,ĐB,938059,9
KH79,24-3-2024,G8,16,0
KH79,24-3-2024,G7,339,1
KH79,24-3-2024,G6,8274 6397 5360,2
KH79,24-3-2024,G5,0620,3
KH79,24-3-2024,G4,34365 11011 29706 72307 24179 28765 95735,4
KH79,24-3-2024,G3,57683 73338,6
KH79,24-3-2024,G2,65417,7
KH79,24-3-2024,G1,66312,8
KH79,24-3-2024,ĐB,554694,9
KH79,27-3-2024,G8,83,0
KH79,27-3-2024,G7,303,1
KH79,27-3-2024,G6,5771 8601 5321,2
KH79,27-3-2024,G5,0061,3
KH79,27-3-2024,G4,66352 06727 37744 56052 10983 76759 98122,4
KH79,27-3-2024,G3,21080 36638,6
KH79,27-3-2024,G2,93241,7
KH79,27-3-2024,G1,72422,8
KH79,27-3-2024,ĐB,250326,9
KH79,31-3-2024,G8,82,0
KH79,31-3-2024,G7,240,1
KH79,31-3-2024,G6,2133 0881 2310,2
KH79,31-3-2024,G5,7515,3
KH79,31-3-2024,G4,79740 45290 31863 88880 00604 39396 58006,4
KH79,31-3-2024,G3,31772 04960,6
KH79,31-3-2024,G2,92665,7
KH79,31-3-2024,G1,19088,8
KH79,31-3-2024,ĐB,210815,9
KH79,3-4-2024,G8,70,0
KH79,3-4-2024,G7,859,1
KH79,3-4-2024,G6,3938 9581 0706,2
KH79,3-4-2024,G5,7909,3
KH79,3-4-2024,G4,95154 70845 25808 95598 38980 94648 75675,4
KH79,3-4-2024,G3,92325 16228,6
KH79,3-4-2024,G2,55150,7
KH79,3-4-2024,G1,01791,8
KH79,3-4-2024,ĐB,376716,9
KH79,7-4-2024,G8,78,0
KH79,7-4-2024,G7,811,1
KH79,7-4-2024,G6,7471 8401 5354,2
KH79,7-4-2024,G5,8297,3
KH79,7-4-2024,G4,85216 48697 42870 73019 16547 06113 40138,4
KH79,7-4-2024,G3,40923 85849,6
KH79,7-4-2024,G2,62429,7
KH79,7-4-2024,G1,91844,8
KH79,7-4-2024,ĐB,508281,9
KH79,10-4-2024,G8,22,0
KH79,10-4-2024,G7,427,1
KH79,10-4-2024,G6,6143 9713 8380,2
KH79,10-4-2024,G5,2222,3
KH79,10-4-2024,G4,02513 42784 54849 92229 68425 17801 30652,4
KH79,10-4-2024,G3,61385 14283,6
KH79,10-4-2024,G2,24687,7
KH79,10-4-2024,G1,90794,8
KH79,10-4-2024,ĐB,182714,9
KH79,14-4-2024,G8,01,0
KH79,14-4-2024,G7,351,1
KH79,14-4-2024,G6,8557 0923 3565,2
KH79,14-4-2024,G5,0365,3
KH79,14-4-2024,G4,70016 40689 41806 42586 58812 54266 52441,4
KH79,14-4-2024,G3,74158 70097,6
KH79,14-4-2024,G2,07357,7
KH79,14-4-2024,G1,64599,8
KH79,14-4-2024,ĐB,473105,9
KH79,21-4-2024,G8,71,0
KH79,21-4-2024,G7,145,1
KH79,21-4-2024,G6,0503 5307 4010,2
KH79,21-4-2024,G5,6122,3
KH79,21-4-2024,G4,61471 42185 72739 39051 63788 42453 49378,4
KH79,21-4-2024,G3,53015 79895,6
KH79,21-4-2024,G2,56741,7
KH79,21-4-2024,G1,08666,8
KH79,21-4-2024,ĐB,615582,9
KH79,24-4-2024,G8,05,0
KH79,24-4-2024,G7,463,1
KH79,24-4-2024,G6,8059 1121 8406,2
KH79,24-4-2024,G5,0263,3
KH79,24-4-2024,G4,24797 69979 61652 52893 92653 03905 88137,4
KH79,24-4-2024,G3,31764 93711,6
KH79,24-4-2024,G2,49955,7
KH79,24-4-2024,G1,37738,8
KH79,24-4-2024,ĐB,862862,9
KH79,28-4-2024,G8,68,0
KH79,28-4-2024,G7,230,1
KH79,28-4-2024,G6,7221 9368 0733,2
KH79,28-4-2024,G5,5194,3
KH79,28-4-2024,G4,42835 21521 37930 00826 33550 92100 98962,4
KH79,28-4-2024,G3,73119 64036,6
KH79,28-4-2024,G2,85874,7
KH79,28-4-2024,G1,19874,8
KH79,28-4-2024,ĐB,014259,9
KH79,1-5-2024,G8,02,0
KH79,1-5-2024,G7,823,1
KH79,1-5-2024,G6,0615 5539 6274,2
KH79,1-5-2024,G5,6972,3
KH79,1-5-2024,G4,20644 99177 77616 98745 53372 24576 70708,4
KH79,1-5-2024,G3,76313 74509,6
KH79,1-5-2024,G2,93371,7
KH79,1-5-2024,G1,41026,8
KH79,1-5-2024,ĐB,846835,9
KH79,5-5-2024,G8,99,0
KH79,5-5-2024,G7,662,1
KH79,5-5-2024,G6,5891 0155 9660,2
KH79,5-5-2024,G5,2433,3
KH79,5-5-2024,G4,31542 19625 46707 68415 55146 28062 08743,4
KH79,5-5-2024,G3,78645 26516,6
KH79,5-5-2024,G2,51587,7
KH79,5-5-2024,G1,93932,8
KH79,5-5-2024,ĐB,300892,9
KH79,12-5-2024,G8,42,0
KH79,12-5-2024,G7,422,1
KH79,12-5-2024,G6,6759 1156 1636,2
KH79,12-5-2024,G5,4966,3
KH79,12-5-2024,G4,83982 69176 08056 29710 45718 19143 64764,4
KH79,12-5-2024,G3,41565 29865,6
KH79,12-5-2024,G2,76408,7
KH79,12-5-2024,G1,39521,8
KH79,12-5-2024,ĐB,293762,9
KH79,8-5-2024,G8,23,0
KH79,8-5-2024,G7,803,1
KH79,8-5-2024,G6,7080 8393 4653,2
KH79,8-5-2024,G5,3755,3
KH79,8-5-2024,G4,84856 29929 45998 44405 39904 31729 76944,4
KH79,8-5-2024,G3,02666 16854,6
KH79,8-5-2024,G2,96078,7
KH79,8-5-2024,G1,85209,8
KH79,8-5-2024,ĐB,136971,9
KH79,15-5-2024,G8,00,0
KH79,15-5-2024,G7,682,1
KH79,15-5-2024,G6,5479 5582 9976,2
KH79,15-5-2024,G5,3127,3
KH79,15-5-2024,G4,15214 15989 09343 44446 81217 36222 08386,4
KH79,15-5-2024,G3,92375 59315,6
KH79,15-5-2024,G2,14039,7
KH79,15-5-2024,G1,08006,8
KH79,15-5-2024,ĐB,861225,9
KH79,19-5-2024,G8,39,0
KH79,19-5-2024,G7,425,1
KH79,19-5-2024,G6,7919 3574 2056,2
KH79,19-5-2024,G5,3538,3
KH79,19-5-2024,G4,75272 79848 81975 67348 91011 67044 00610,4
KH79,19-5-2024,G3,58839 94058,6
KH79,19-5-2024,G2,38556,7
KH79,19-5-2024,G1,15570,8
KH79,19-5-2024,ĐB,298117,9
KH79,22-5-2024,G8,01,0
KH79,22-5-2024,G7,657,1
KH79,22-5-2024,G6,3916 7719 9904,2
KH79,22-5-2024,G5,3815,3
KH79,22-5-2024,G4,36423 29143 84044 27784 45861 20252 99028,4
KH79,22-5-2024,G3,14607 73089,6
KH79,22-5-2024,G2,30175,7
KH79,22-5-2024,G1,38925,8
KH79,22-5-2024,ĐB,890557,9
KH79,26-5-2024,G8,79,0
KH79,26-5-2024,G7,285,1
KH79,26-5-2024,G6,5196 3481 3243,2
KH79,26-5-2024,G5,8751,3
KH79,26-5-2024,G4,98918 21097 92334 65407 28483 25384 85512,4
KH79,26-5-2024,G3,02839 96116,6
KH79,26-5-2024,G2,85452,7
KH79,26-5-2024,G1,83429,8
KH79,26-5-2024,ĐB,051987,9
KH79,2-6-2024,G8,34,0
KH79,2-6-2024,G7,422,1
KH79,2-6-2024,G6,9123 8720 3539,2
KH79,2-6-2024,G5,8751,3
KH79,2-6-2024,G4,28421 40072 95592 37620 68406 76710 05247,4
KH79,2-6-2024,G3,58346 75275,6
KH79,2-6-2024,G2,61804,7
KH79,2-6-2024,G1,55513,8
KH79,2-6-2024,ĐB,084132,9
KH79,5-6-2024,G8,98,0
KH79,5-6-2024,G7,418,1
KH79,5-6-2024,G6,3195 1167 0278,2
KH79,5-6-2024,G5,4769,3
KH79,5-6-2024,G4,45677 27647 42031 16608 45285 53304 48394,4
KH79,5-6-2024,G3,13038 94150,6
KH79,5-6-2024,G2,20908,7
KH79,5-6-2024,G1,76366,8
KH79,5-6-2024,ĐB,206039,9
KH79,9-6-2024,G8,22,0
